,filename,var,temporalRes,modelFull,model,scenario,spatialRes
43,tas_ann_E3SM-2-0_piControl_r1i1p1f1_g025.nc,tas,ann,E3SM-2-0,E3S,piControl,g025
44,tas_ann_EC-Earth3-AerChem_historical_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-AerChem,EC-,historical,g025
45,tas_ann_EC-Earth3-AerChem_piControl_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-AerChem,EC-,piControl,g025
46,tas_ann_EC-Earth3-CC_historical_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-CC,EC-,historical,g025
47,tas_ann_EC-Earth3-CC_piControl_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-CC,EC-,piControl,g025
48,tas_ann_EC-Earth3-Veg-LR_historical_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-Veg-LR,EC-,historical,g025
49,tas_ann_EC-Earth3-Veg-LR_piControl_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-Veg-LR,EC-,piControl,g025
50,tas_ann_EC-Earth3-Veg_historical_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-Veg,EC-,historical,g025
51,tas_ann_EC-Earth3-Veg_piControl_r1i1p1f1_g025.nc,tas,ann,EC-Earth3-Veg,EC-,piControl,g025
52,tas_ann_EC-Earth3_historical_r1i1p1f1_g025.nc,tas,ann,EC-Earth3,EC-,historical,g025
53,tas_ann_EC-Earth3_piControl_r1i1p1f1_g025.nc,tas,ann,EC-Earth3,EC-,piControl,g025
54,tas_ann_FGOALS-f3-L_historical_r1i1p1f1_g025.nc,tas,ann,FGOALS-f3-L,FGO,historical,g025
55,tas_ann_FGOALS-f3-L_piControl_r1i1p1f1_g025.nc,tas,ann,FGOALS-f3-L,FGO,piControl,g025
56,tas_ann_FGOALS-g3_historical_r1i1p1f1_g025.nc,tas,ann,FGOALS-g3,FGO,historical,g025
57,tas_ann_FGOALS-g3_piControl_r1i1p1f1_g025.nc,tas,ann,FGOALS-g3,FGO,piControl,g025
58,tas_ann_FIO-ESM-2-0_historical_r1i1p1f1_g025.nc,tas,ann,FIO-ESM-2-0,FIO,historical,g025
59,tas_ann_FIO-ESM-2-0_piControl_r1i1p1f1_g025.nc,tas,ann,FIO-ESM-2-0,FIO,piControl,g025
60,tas_ann_GFDL-CM4_historical_r1i1p1f1_g025.nc,tas,ann,GFDL-CM4,GFD,historical,g025
61,tas_ann_GFDL-CM4_piControl_r1i1p1f1_g025.nc,tas,ann,GFDL-CM4,GFD,piControl,g025
62,tas_ann_GFDL-ESM4_historical_r1i1p1f1_g025.nc,tas,ann,GFDL-ESM4,GFD,historical,g025
63,tas_ann_GFDL-ESM4_piControl_r1i1p1f1_g025.nc,tas,ann,GFDL-ESM4,GFD,piControl,g025
64,tas_ann_GISS-E2-1-G-CC_historical_r1i1p1f1_g025.nc,tas,ann,GISS-E2-1-G-CC,GIS,historical,g025
65,tas_ann_GISS-E2-1-G-CC_piControl_r1i1p1f1_g025.nc,tas,ann,GISS-E2-1-G-CC,GIS,piControl,g025
66,tas_ann_GISS-E2-1-G_historical_r1i1p1f1_g025.nc,tas,ann,GISS-E2-1-G,GIS,historical,g025
67,tas_ann_GISS-E2-1-G_piControl_r1i1p1f1_g025.nc,tas,ann,GISS-E2-1-G,GIS,piControl,g025
68,tas_ann_GISS-E2-1-H_historical_r1i1p1f1_g025.nc,tas,ann,GISS-E2-1-H,GIS,historical,g025
69,tas_ann_GISS-E2-1-H_piControl_r1i1p1f1_g025.nc,tas,ann,GISS-E2-1-H,GIS,piControl,g025
70,tas_ann_GISS-E2-2-G_historical_r1i1p1f1_g025.nc,tas,ann,GISS-E2-2-G,GIS,historical,g025
71,tas_ann_GISS-E2-2-H_historical_r1i1p1f1_g025.nc,tas,ann,GISS-E2-2-H,GIS,historical,g025
72,tas_ann_GISS-E2-2-H_piControl_r1i1p1f1_g025.nc,tas,ann,GISS-E2-2-H,GIS,piControl,g025
73,tas_ann_GISS-E3-G_historical_r1i1p1f1_g025.nc,tas,ann,GISS-E3-G,GIS,historical,g025
74,tas_ann_ICON-ESM-LR_historical_r1i1p1f1_g025.nc,tas,ann,ICON-ESM-LR,ICO,historical,g025
75,tas_ann_ICON-ESM-LR_piControl_r1i1p1f1_g025.nc,tas,ann,ICON-ESM-LR,ICO,piControl,g025
76,tas_ann_IITM-ESM_historical_r1i1p1f1_g025.nc,tas,ann,IITM-ESM,IIT,historical,g025
77,tas_ann_IITM-ESM_piControl_r1i1p1f1_g025.nc,tas,ann,IITM-ESM,IIT,piControl,g025
78,tas_ann_INM-CM4-8_historical_r1i1p1f1_g025.nc,tas,ann,INM-CM4-8,INM,historical,g025
79,tas_ann_INM-CM4-8_piControl_r1i1p1f1_g025.nc,tas,ann,INM-CM4-8,INM,piControl,g025
80,tas_ann_INM-CM5-0_historical_r1i1p1f1_g025.nc,tas,ann,INM-CM5-0,INM,historical,g025
81,tas_ann_INM-CM5-0_piControl_r1i1p1f1_g025.nc,tas,ann,INM-CM5-0,INM,piControl,g025
82,tas_ann_IPSL-CM5A2-INCA_historical_r1i1p1f1_g025.nc,tas,ann,IPSL-CM5A2-INCA,IPS,historical,g025
83,tas_ann_IPSL-CM5A2-INCA_piControl_r1i1p1f1_g025.nc,tas,ann,IPSL-CM5A2-INCA,IPS,piControl,g025
84,tas_ann_IPSL-CM6A-LR-INCA_historical_r1i1p1f1_g025.nc,tas,ann,IPSL-CM6A-LR-INCA,IPS,historical,g025
85,tas_ann_IPSL-CM6A-LR_historical_r1i1p1f1_g025.nc,tas,ann,IPSL-CM6A-LR,IPS,historical,g025
86,tas_ann_IPSL-CM6A-LR_piControl_r1i1p1f1_g025.nc,tas,ann,IPSL-CM6A-LR,IPS,piControl,g025
87,tas_ann_KIOST-ESM_historical_r1i1p1f1_g025.nc,tas,ann,KIOST-ESM,KIO,historical,g025
88,tas_ann_KIOST-ESM_piControl_r1i1p1f1_g025.nc,tas,ann,KIOST-ESM,KIO,piControl,g025
89,tas_ann_MCM-UA-1-0_historical_r1i1p1f1_g025.nc,tas,ann,MCM-UA-1-0,MCM,historical,g025
90,tas_ann_MCM-UA-1-0_piControl_r1i1p1f1_g025.nc,tas,ann,MCM-UA-1-0,MCM,piControl,g025
91,tas_ann_MIROC6_historical_r1i1p1f1_g025.nc,tas,ann,MIROC6,MIR,historical,g025
92,tas_ann_MIROC6_piControl_r1i1p1f1_g025.nc,tas,ann,MIROC6,MIR,piControl,g025
93,tas_ann_MPI-ESM-1-2-HAM_historical_r1i1p1f1_g025.nc,tas,ann,MPI-ESM-1-2-HAM,MPI,historical,g025
94,tas_ann_MPI-ESM-1-2-HAM_piControl_r1i1p1f1_g025.nc,tas,ann,MPI-ESM-1-2-HAM,MPI,piControl,g025
95,tas_ann_MPI-ESM1-2-HR_historical_r1i1p1f1_g025.nc,tas,ann,MPI-ESM1-2-HR,MPI,historical,g025
96,tas_ann_MPI-ESM1-2-HR_piControl_r1i1p1f1_g025.nc,tas,ann,MPI-ESM1-2-HR,MPI,piControl,g025
97,tas_ann_MPI-ESM1-2-LR_historical_r1i1p1f1_g025.nc,tas,ann,MPI-ESM1-2-LR,MPI,historical,g025
98,tas_ann_MPI-ESM1-2-LR_piControl_r1i1p1f1_g025.nc,tas,ann,MPI-ESM1-2-LR,MPI,piControl,g025
99,tas_ann_MRI-ESM2-0_historical_r1i1p1f1_g025.nc,tas,ann,MRI-ESM2-0,MRI,historical,g025
100,tas_ann_MRI-ESM2-0_piControl_r1i1p1f1_g025.nc,tas,ann,MRI-ESM2-0,MRI,piControl,g025
101,tas_ann_NESM3_historical_r1i1p1f1_g025.nc,tas,ann,NESM3,NES,historical,g025
102,tas_ann_NESM3_piControl_r1i1p1f1_g025.nc,tas,ann,NESM3,NES,piControl,g025
103,tas_ann_NorCPM1_historical_r1i1p1f1_g025.nc,tas,ann,NorCPM1,Nor,historical,g025
104,tas_ann_NorCPM1_piControl_r1i1p1f1_g025.nc,tas,ann,NorCPM1,Nor,piControl,g025
105,tas_ann_NorESM1-F_piControl_r1i1p1f1_g025.nc,tas,ann,NorESM1-F,Nor,piControl,g025
106,tas_ann_NorESM2-LM_historical_r1i1p1f1_g025.nc,tas,ann,NorESM2-LM,Nor,historical,g025
107,tas_ann_NorESM2-LM_piControl_r1i1p1f1_g025.nc,tas,ann,NorESM2-LM,Nor,piControl,g025
108,tas_ann_NorESM2-MM_historical_r1i1p1f1_g025.nc,tas,ann,NorESM2-MM,Nor,historical,g025
109,tas_ann_NorESM2-MM_piControl_r1i1p1f1_g025.nc,tas,ann,NorESM2-MM,Nor,piControl,g025
110,tas_ann_SAM0-UNICON_historical_r1i1p1f1_g025.nc,tas,ann,SAM0-UNICON,SAM,historical,g025
111,tas_ann_SAM0-UNICON_piControl_r1i1p1f1_g025.nc,tas,ann,SAM0-UNICON,SAM,piControl,g025
112,tas_ann_TaiESM1_historical_r1i1p1f1_g025.nc,tas,ann,TaiESM1,Tai,historical,g025
113,tas_ann_TaiESM1_piControl_r1i1p1f1_g025.nc,tas,ann,TaiESM1,Tai,piControl,g025
